Experiment,Dist,N,M,Seed,Algo,Params,Time,Obj,Status,Gap
pilot_b_tuning,uniform,30,5,2198,IG,"d=6,T=0.5,t=5.0s",5.0,185,HEURISTIC,5.714285714285714
pilot_b_tuning,job_correlated,50,4,2229,IG,"d=2,T=0.1,t=5.0s",5.0,590,HEURISTIC,1.7241379310344827
pilot_b_tuning,job_correlated,50,4,2229,IG,"d=2,T=0.5,t=5.0s",5.0,600,HEURISTIC,3.4482758620689653
pilot_b_tuning,job_correlated,50,4,2229,IG,"d=4,T=0.1,t=5.0s",5.0,588,HEURISTIC,1.3793103448275863
pilot_b_tuning,job_correlated,50,4,2229,IG,"d=4,T=0.5,t=5.0s",5.0,598,HEURISTIC,3.103448275862069
pilot_b_tuning,job_correlated,50,4,2229,IG,"d=6,T=0.1,t=5.0s",5.0,590,HEURISTIC,1.7241379310344827
pilot_b_tuning,job_correlated,50,4,2229,IG,"d=6,T=0.5,t=5.0s",5.0,602,HEURISTIC,3.793103448275862
pilot_b_tuning,job_correlated,50,4,2230,IG,"d=2,T=0.1,t=5.0s",5.0,723,HEURISTIC,2.263083451202263
pilot_b_tuning,job_correlated,50,4,2230,IG,"d=2,T=0.5,t=5.0s",5.0,732,HEURISTIC,3.536067892503536
pilot_b_tuning,job_correlated,50,4,2230,IG,"d=4,T=0.1,t=5.0s",5.0,718,HEURISTIC,1.5558698727015559
pilot_b_tuning,job_correlated,50,4,2230,IG,"d=4,T=0.5,t=5.0s",5.0,729,HEURISTIC,3.1117397454031117
pilot_b_tuning,job_correlated,50,4,2230,IG,"d=6,T=0.1,t=5.0s",5.0,716,HEURISTIC,1.272984441301273
pilot_b_tuning,job_correlated,50,4,2230,IG,"d=6,T=0.5,t=5.0s",5.0,730,HEURISTIC,3.253182461103253
pilot_b_tuning,job_correlated,50,4,2231,IG,"d=2,T=0.1,t=5.0s",5.0,591,HEURISTIC,2.072538860103627
pilot_b_tuning,job_correlated,50,4,2231,IG,"d=2,T=0.5,t=5.0s",5.0,598,HEURISTIC,3.281519861830743
pilot_b_tuning,job_correlated,50,4,2231,IG,"d=4,T=0.1,t=5.0s",5.0,587,HEURISTIC,1.381692573402418
pilot_b_tuning,job_correlated,50,4,2231,IG,"d=4,T=0.5,t=5.0s",5.0,594,HEURISTIC,2.5906735751295336
pilot_b_tuning,job_correlated,50,4,2231,IG,"d=6,T=0.1,t=5.0s",5.0,586,HEURISTIC,1.2089810017271159
pilot_b_tuning,job_correlated,50,4,2231,IG,"d=6,T=0.5,t=5.0s",5.0,599,HEURISTIC,3.454231433506045
pilot_b_tuning,job_correlated,50,4,2232,IG,"d=2,T=0.1,t=5.0s",5.0,689,HEURISTIC,2.225519287833828
pilot_b_tuning,job_correlated,50,4,2232,IG,"d=2,T=0.5,t=5.0s",5.0,696,HEURISTIC,3.2640949554896146
pilot_b_tuning,job_correlated,50,4,2232,IG,"d=4,T=0.1,t=5.0s",5.0,681,HEURISTIC,1.0385756676557862
pilot_b_tuning,job_correlated,50,4,2232,IG,"d=4,T=0.5,t=5.0s",5.0,696,HEURISTIC,3.2640949554896146
pilot_b_tuning,job_correlated,50,4,2232,IG,"d=6,T=0.1,t=5.0s",5.0,682,HEURISTIC,1.1869436201780417
pilot_b_tuning,job_correlated,50,4,2232,IG,"d=6,T=0.5,t=5.0s",5.0,694,HEURISTIC,2.967359050445104
pilot_b_tuning,job_correlated,50,4,2233,IG,"d=2,T=0.1,t=5.0s",5.0,662,HEURISTIC,2.3183925811437405
pilot_b_tuning,job_correlated,50,4,2233,IG,"d=2,T=0.5,t=5.0s",5.0,670,HEURISTIC,3.554868624420402
pilot_b_tuning,job_correlated,50,4,2233,IG,"d=4,T=0.1,t=5.0s",5.0,658,HEURISTIC,1.7001545595054095
pilot_b_tuning,job_correlated,50,4,2233,IG,"d=4,T=0.5,t=5.0s",5.0,673,HEURISTIC,4.01854714064915
pilot_b_tuning,job_correlated,50,4,2233,IG,"d=6,T=0.1,t=5.0s",5.0,656,HEURISTIC,1.3910355486862442
pilot_b_tuning,job_correlated,50,4,2233,IG,"d=6,T=0.5,t=5.0s",5.0,672,HEURISTIC,3.863987635239567
pilot_b_tuning,uniform,50,4,2224,IG,"d=2,T=0.1,t=5.0s",5.0,355,HEURISTIC,2.601156069364162
pilot_b_tuning,uniform,50,4,2224,IG,"d=2,T=0.5,t=5.0s",5.0,356,HEURISTIC,2.8901734104046244
pilot_b_tuning,uniform,50,4,2224,IG,"d=4,T=0.1,t=5.0s",5.0,355,HEURISTIC,2.601156069364162
pilot_b_tuning,uniform,50,4,2224,IG,"d=4,T=0.5,t=5.0s",5.0,356,HEURISTIC,2.8901734104046244
pilot_b_tuning,uniform,50,4,2224,IG,"d=6,T=0.1,t=5.0s",5.0,355,HEURISTIC,2.601156069364162
pilot_b_tuning,uniform,50,4,2224,IG,"d=6,T=0.5,t=5.0s",5.0,355,HEURISTIC,2.601156069364162
pilot_b_tuning,uniform,50,4,2225,IG,"d=2,T=0.1,t=5.0s",5.0,355,HEURISTIC,5.970149253731343
pilot_b_tuning,uniform,50,4,2225,IG,"d=2,T=0.5,t=5.0s",5.0,355,HEURISTIC,5.970149253731343
pilot_b_tuning,uniform,50,4,2225,IG,"d=4,T=0.1,t=5.0s",5.0,353,HEURISTIC,5.3731343283582085
pilot_b_tuning,uniform,50,4,2225,IG,"d=4,T=0.5,t=5.0s",5.0,353,HEURISTIC,5.3731343283582085
pilot_b_tuning,uniform,50,4,2225,IG,"d=6,T=0.1,t=5.0s",5.0,353,HEURISTIC,5.3731343283582085
pilot_b_tuning,uniform,50,4,2225,IG,"d=6,T=0.5,t=5.0s",5.0,352,HEURISTIC,5.074626865671641
pilot_b_tuning,uniform,50,4,2226,IG,"d=2,T=0.1,t=5.0s",5.0,350,HEURISTIC,3.5502958579881656
pilot_b_tuning,uniform,50,4,2226,IG,"d=2,T=0.5,t=5.0s",5.0,350,HEURISTIC,3.5502958579881656
pilot_b_tuning,uniform,50,4,2226,IG,"d=4,T=0.1,t=5.0s",5.0,350,HEURISTIC,3.5502958579881656
pilot_b_tuning,uniform,50,4,2226,IG,"d=4,T=0.5,t=5.0s",5.0,353,HEURISTIC,4.437869822485207
pilot_b_tuning,uniform,50,4,2226,IG,"d=6,T=0.1,t=5.0s",5.0,351,HEURISTIC,3.8461538461538463
pilot_b_tuning,uniform,50,4,2226,IG,"d=6,T=0.5,t=5.0s",5.0,352,HEURISTIC,4.142011834319527
pilot_b_tuning,uniform,50,4,2227,IG,"d=2,T=0.1,t=5.0s",5.0,357,HEURISTIC,2.586206896551724
pilot_b_tuning,uniform,50,4,2227,IG,"d=2,T=0.5,t=5.0s",5.0,357,HEURISTIC,2.586206896551724
pilot_b_tuning,uniform,50,4,2227,IG,"d=4,T=0.1,t=5.0s",5.0,357,HEURISTIC,2.586206896551724
pilot_b_tuning,uniform,50,4,2227,IG,"d=4,T=0.5,t=5.0s",5.0,357,HEURISTIC,2.586206896551724
pilot_b_tuning,uniform,50,4,2227,IG,"d=6,T=0.1,t=5.0s",5.0,357,HEURISTIC,2.586206896551724
pilot_b_tuning,uniform,50,4,2227,IG,"d=6,T=0.5,t=5.0s",5.0,357,HEURISTIC,2.586206896551724
pilot_b_tuning,uniform,50,4,2228,IG,"d=2,T=0.1,t=5.0s",5.0,321,HEURISTIC,3.8834951456310676
pilot_b_tuning,uniform,50,4,2228,IG,"d=2,T=0.5,t=5.0s",5.0,319,HEURISTIC,3.2362459546925564
pilot_b_tuning,uniform,50,4,2228,IG,"d=4,T=0.1,t=5.0s",5.0,319,HEURISTIC,3.2362459546925564
pilot_b_tuning,uniform,50,4,2228,IG,"d=4,T=0.5,t=5.0s",5.0,319,HEURISTIC,3.2362459546925564
pilot_b_tuning,uniform,50,4,2228,IG,"d=6,T=0.1,t=5.0s",5.0,319,HEURISTIC,3.2362459546925564
pilot_b_tuning,uniform,50,4,2228,IG,"d=6,T=0.5,t=5.0s",5.0,320,HEURISTIC,3.559870550161812
pilot_b_tuning,job_correlated,50,5,2239,IG,"d=2,T=0.1,t=5.0s",5.0,570,HEURISTIC,3.260869565217391
pilot_b_tuning,job_correlated,50,5,2239,IG,"d=2,T=0.5,t=5.0s",5.0,583,HEURISTIC,5.615942028985507
pilot_b_tuning,job_correlated,50,5,2239,IG,"d=4,T=0.1,t=5.0s",5.0,563,HEURISTIC,1.9927536231884055
pilot_b_tuning,job_correlated,50,5,2239,IG,"d=4,T=0.5,t=5.0s",5.0,583,HEURISTIC,5.615942028985507
pilot_b_tuning,job_correlated,50,5,2239,IG,"d=6,T=0.1,t=5.0s",5.0,565,HEURISTIC,2.355072463768116
pilot_b_tuning,job_correlated,50,5,2239,IG,"d=6,T=0.5,t=5.0s",5.0,583,HEURISTIC,5.615942028985507
pilot_b_tuning,job_correlated,50,5,2240,IG,"d=2,T=0.1,t=5.0s",5.0,547,HEURISTIC,3.207547169811321
pilot_b_tuning,job_correlated,50,5,2240,IG,"d=2,T=0.5,t=5.0s",5.0,557,HEURISTIC,5.09433962264151
pilot_b_tuning,job_correlated,50,5,2240,IG,"d=4,T=0.1,t=5.0s",5.0,538,HEURISTIC,1.509433962264151
pilot_b_tuning,job_correlated,50,5,2240,IG,"d=4,T=0.5,t=5.0s",5.0,554,HEURISTIC,4.528301886792453
pilot_b_tuning,job_correlated,50,5,2240,IG,"d=6,T=0.1,t=5.0s",5.0,540,HEURISTIC,1.8867924528301887
pilot_b_tuning,job_correlated,50,5,2240,IG,"d=6,T=0.5,t=5.0s",5.0,552,HEURISTIC,4.150943396226415
pilot_b_tuning,job_correlated,50,5,2241,IG,"d=2,T=0.1,t=5.0s",5.0,485,HEURISTIC,2.536997885835095
pilot_b_tuning,job_correlated,50,5,2241,IG,"d=2,T=0.5,t=5.0s",5.0,495,HEURISTIC,4.651162790697675
pilot_b_tuning,job_correlated,50,5,2241,IG,"d=4,T=0.1,t=5.0s",5.0,481,HEURISTIC,1.6913319238900635
pilot_b_tuning,job_correlated,50,5,2241,IG,"d=4,T=0.5,t=5.0s",5.0,491,HEURISTIC,3.8054968287526427
pilot_b_tuning,job_correlated,50,5,2241,IG,"d=6,T=0.1,t=5.0s",5.0,480,HEURISTIC,1.4799154334038054
pilot_b_tuning,job_correlated,50,5,2241,IG,"d=6,T=0.5,t=5.0s",5.0,496,HEURISTIC,4.862579281183932
pilot_b_tuning,job_correlated,50,5,2242,IG,"d=2,T=0.1,t=5.0s",5.0,536,HEURISTIC,2.2900763358778624
pilot_b_tuning,job_correlated,50,5,2242,IG,"d=2,T=0.5,t=5.0s",5.0,542,HEURISTIC,3.435114503816794
pilot_b_tuning,job_correlated,50,5,2242,IG,"d=4,T=0.1,t=5.0s",5.0,531,HEURISTIC,1.3358778625954197
pilot_b_tuning,job_correlated,50,5,2242,IG,"d=4,T=0.5,t=5.0s",5.0,549,HEURISTIC,4.770992366412214
pilot_b_tuning,job_correlated,50,5,2242,IG,"d=6,T=0.1,t=5.0s",5.0,533,HEURISTIC,1.717557251908397
pilot_b_tuning,job_correlated,50,5,2242,IG,"d=6,T=0.5,t=5.0s",5.0,545,HEURISTIC,4.007633587786259
pilot_b_tuning,job_correlated,50,5,2243,IG,"d=2,T=0.1,t=5.0s",5.0,522,HEURISTIC,2.5540275049115913
pilot_b_tuning,job_correlated,50,5,2243,IG,"d=2,T=0.5,t=5.0s",5.0,536,HEURISTIC,5.304518664047151
pilot_b_tuning,job_correlated,50,5,2243,IG,"d=4,T=0.1,t=5.0s",5.0,516,HEURISTIC,1.37524557956778
pilot_b_tuning,job_correlated,50,5,2243,IG,"d=4,T=0.5,t=5.0s",5.0,534,HEURISTIC,4.911591355599214
pilot_b_tuning,job_correlated,50,5,2243,IG,"d=6,T=0.1,t=5.0s",5.0,519,HEURISTIC,1.9646365422396856
pilot_b_tuning,job_correlated,50,5,2243,IG,"d=6,T=0.5,t=5.0s",5.0,538,HEURISTIC,5.697445972495088
pilot_b_tuning,uniform,50,5,2234,IG,"d=2,T=0.1,t=5.0s",5.0,236,HEURISTIC,4.888888888888889
