Experiment,Dist,N,M,Replica,Seed,Algo,Params,Time,Obj,Status,Gap,Nodes
workhorse_final,uniform,14,2,0,2084,BnB,TL=60s,0.0,340,OPTIMAL,5.263157894736842,627
workhorse_final,uniform,14,2,0,2084,IG,"d=4,T=0.1,t=30s",30.0,340,HEURISTIC_OPT_GAP,0.0,519008
workhorse_final,uniform,14,2,1,2085,BnB,TL=60s,0.0,235,OPTIMAL,5.381165919282512,232
workhorse_final,uniform,14,2,1,2085,IG,"d=4,T=0.1,t=30s",30.0,235,HEURISTIC_OPT_GAP,0.0,495485
workhorse_final,uniform,14,2,2,2086,BnB,TL=60s,0.0,314,OPTIMAL,2.2801302931596092,350
workhorse_final,uniform,14,2,2,2086,IG,"d=4,T=0.1,t=30s",30.0,314,HEURISTIC_OPT_GAP,0.0,520181
workhorse_final,uniform,14,2,3,2087,BnB,TL=60s,0.0,265,OPTIMAL,5.577689243027888,257
workhorse_final,uniform,14,2,3,2087,IG,"d=4,T=0.1,t=30s",30.0,265,HEURISTIC_OPT_GAP,0.0,507119
workhorse_final,uniform,14,2,4,2088,BnB,TL=60s,0.0,275,OPTIMAL,4.562737642585551,306
workhorse_final,uniform,14,2,4,2088,IG,"d=4,T=0.1,t=30s",30.0,275,HEURISTIC_OPT_GAP,0.0,514040
workhorse_final,job_correlated,14,4,0,2099,BnB,TL=60s,0.03125,176,OPTIMAL,5.389221556886228,9817
workhorse_final,job_correlated,14,4,0,2099,IG,"d=4,T=0.1,t=30s",30.0,176,HEURISTIC_OPT_GAP,0.0,543712
workhorse_final,job_correlated,14,4,1,2100,BnB,TL=60s,0.046875,178,OPTIMAL,5.952380952380952,12806
workhorse_final,job_correlated,14,4,1,2100,IG,"d=4,T=0.1,t=30s",30.0,178,HEURISTIC_OPT_GAP,0.0,526838
workhorse_final,job_correlated,14,4,2,2101,BnB,TL=60s,0.0625,196,OPTIMAL,5.376344086021505,17915
workhorse_final,job_correlated,14,4,2,2101,IG,"d=4,T=0.1,t=30s",30.0,196,HEURISTIC_OPT_GAP,0.0,532242
workhorse_final,job_correlated,14,4,3,2102,BnB,TL=60s,0.03125,196,OPTIMAL,5.376344086021505,10068
workhorse_final,job_correlated,14,4,3,2102,IG,"d=4,T=0.1,t=30s",30.0,196,HEURISTIC_OPT_GAP,0.0,527505
workhorse_final,job_correlated,14,4,4,2103,BnB,TL=60s,0.015625,204,OPTIMAL,4.081632653061225,8896
workhorse_final,job_correlated,14,4,4,2103,IG,"d=4,T=0.1,t=30s",30.0,204,HEURISTIC_OPT_GAP,0.0,521159
workhorse_final,uniform,14,4,0,2094,BnB,TL=60s,0.0,113,OPTIMAL,21.50537634408602,607
workhorse_final,uniform,14,4,0,2094,IG,"d=4,T=0.1,t=30s",30.0,113,HEURISTIC_OPT_GAP,0.0,526976
workhorse_final,uniform,14,4,1,2095,BnB,TL=60s,0.015625,138,OPTIMAL,13.114754098360656,4233
workhorse_final,uniform,14,4,1,2095,IG,"d=4,T=0.1,t=30s",30.0,138,HEURISTIC_OPT_GAP,0.0,515624
workhorse_final,uniform,14,4,2,2096,BnB,TL=60s,0.0,104,OPTIMAL,20.930232558139537,799
workhorse_final,uniform,14,4,2,2096,IG,"d=4,T=0.1,t=30s",30.0,104,HEURISTIC_OPT_GAP,0.0,508216
workhorse_final,uniform,14,4,3,2097,BnB,TL=60s,0.0,94,OPTIMAL,8.045977011494253,1507
workhorse_final,uniform,14,4,3,2097,IG,"d=4,T=0.1,t=30s",30.0,94,HEURISTIC_OPT_GAP,0.0,515231
workhorse_final,uniform,14,4,4,2098,BnB,TL=60s,0.0,113,OPTIMAL,14.14141414141414,1334
workhorse_final,uniform,14,4,4,2098,IG,"d=4,T=0.1,t=30s",30.0,113,HEURISTIC_OPT_GAP,0.0,520036
workhorse_final,job_correlated,16,2,0,2109,BnB,TL=60s,0.0,432,OPTIMAL,2.3696682464454977,3676
workhorse_final,job_correlated,16,2,0,2109,IG,"d=4,T=0.1,t=30s",30.0,432,HEURISTIC_OPT_GAP,0.0,497114
workhorse_final,job_correlated,16,2,1,2110,BnB,TL=60s,0.0,458,OPTIMAL,0.6593406593406593,3576
workhorse_final,job_correlated,16,2,1,2110,IG,"d=4,T=0.1,t=30s",30.0,458,HEURISTIC_OPT_GAP,0.0,497447
workhorse_final,job_correlated,16,2,2,2111,BnB,TL=60s,0.0,483,OPTIMAL,1.4705882352941175,2346
workhorse_final,job_correlated,16,2,2,2111,IG,"d=4,T=0.1,t=30s",30.0,483,HEURISTIC_OPT_GAP,0.0,490184
workhorse_final,job_correlated,16,2,3,2112,BnB,TL=60s,0.0,422,OPTIMAL,0.9569377990430622,2105
workhorse_final,job_correlated,16,2,3,2112,IG,"d=4,T=0.1,t=30s",30.0,422,HEURISTIC_OPT_GAP,0.0,489489
workhorse_final,job_correlated,16,2,4,2113,BnB,TL=60s,0.0,439,OPTIMAL,0.9195402298850575,4570
workhorse_final,job_correlated,16,2,4,2113,IG,"d=4,T=0.1,t=30s",30.0,439,HEURISTIC_OPT_GAP,0.0,501447
workhorse_final,uniform,16,2,0,2104,BnB,TL=60s,0.0,358,OPTIMAL,3.768115942028986,1201
workhorse_final,uniform,16,2,0,2104,IG,"d=4,T=0.1,t=30s",30.0,358,HEURISTIC_OPT_GAP,0.0,487514
